_id,subject,topic,tag,task,duration,status,user,createdAt,finishedAt,__v
68261e89135f2cb0d06b0e54,Web Development,my-blog-pomo,,,140,done,682328e4b838d475ecd54f91,2024-08-19T14:15:34.000Z,2024-08-18T22:00:00.000Z,0
68261e89135f2cb0d06b0e56,Reading,"HTML, CSS, JS",,,35,done,682328e4b838d475ecd54f91,2024-08-16T05:41:36.000Z,2024-08-15T22:00:00.000Z,0
68261e89135f2cb0d06b0e55,Web Development,my-blog-pomo,,,120,done,682328e4b838d475ecd54f91,2024-08-19T06:57:53.000Z,2024-08-18T22:00:00.000Z,0
68261e89135f2cb0d06b0e59,Web Development,my-blog-pomo,,,120,done,682328e4b838d475ecd54f91,2024-08-13T16:03:53.000Z,2024-08-12T22:00:00.000Z,0
68261e89135f2cb0d06b0e5a,Web Development,my-blog-pomo,,,150,done,682328e4b838d475ecd54f91,2024-08-13T13:08:25.000Z,2024-08-12T22:00:00.000Z,0
68261e89135f2cb0d06b0e5b,Web Development,my-blog,,,120,done,682328e4b838d475ecd54f91,2024-08-10T03:13:59.000Z,2024-08-09T22:00:00.000Z,0
68261e89135f2cb0d06b0e5c,Web Development,my-blog,,,180,done,682328e4b838d475ecd54f91,2024-08-09T22:21:05.000Z,2024-08-09T22:00:00.000Z,0
68261e89135f2cb0d06b0e5d,Web Development,mosque,,,150,done,682328e4b838d475ecd54f91,2024-08-08T01:15:31.000Z,2024-08-07T22:00:00.000Z,0
68261e89135f2cb0d06b0e5e,Web Development,Mosque,,,200,done,682328e4b838d475ecd54f91,2024-08-07T19:42:15.000Z,2024-08-06T22:00:00.000Z,0
68261e89135f2cb0d06b0e5f,Web Development,webshop,,,70,done,682328e4b838d475ecd54f91,2024-08-07T15:11:46.000Z,2024-08-06T22:00:00.000Z,0
68261e89135f2cb0d06b0e60,Web Development,webshop,,,120,done,682328e4b838d475ecd54f91,2024-08-07T12:31:14.000Z,2024-08-06T22:00:00.000Z,0
68261e89135f2cb0d06b0e61,Web Development,webshop,,,60,done,682328e4b838d475ecd54f91,2024-08-07T10:26:04.000Z,2024-08-06T22:00:00.000Z,0
68261e89135f2cb0d06b0e62,Web Development,webshop,,,120,done,682328e4b838d475ecd54f91,2024-08-07T08:34:47.000Z,2024-08-06T22:00:00.000Z,0
68261e89135f2cb0d06b0e63,Web Development,webshop,,,60,done,682328e4b838d475ecd54f91,2024-08-06T08:37:56.000Z,2024-08-05T22:00:00.000Z,0
68261e89135f2cb0d06b0e64,Web Development,webshop,,,70,done,682328e4b838d475ecd54f91,2024-08-05T21:36:24.000Z,2024-08-04T22:00:00.000Z,0
68261e89135f2cb0d06b0e65,Web Development,webshop,,,100,done,682328e4b838d475ecd54f91,2024-08-05T19:29:21.000Z,2024-08-04T22:00:00.000Z,0
68261e89135f2cb0d06b0e66,Web Development,webshop,,,60,done,682328e4b838d475ecd54f91,2024-08-05T17:41:42.000Z,2024-08-04T22:00:00.000Z,0
68261e89135f2cb0d06b0e67,Web Development,webshop,,,200,done,682328e4b838d475ecd54f91,2024-08-05T05:06:58.000Z,2024-08-04T22:00:00.000Z,0
68261e89135f2cb0d06b0e68,Web Development,webshop,,,25,done,682328e4b838d475ecd54f91,2024-08-04T20:27:13.000Z,2024-08-03T22:00:00.000Z,0
68261e89135f2cb0d06b0e69,Web Development,webshop,,,100,done,682328e4b838d475ecd54f91,2024-08-04T19:56:15.000Z,2024-08-03T22:00:00.000Z,0
68261e89135f2cb0d06b0e6a,Web Development,webshop,,,90,done,682328e4b838d475ecd54f91,2024-08-04T17:56:08.000Z,2024-08-03T22:00:00.000Z,0
68261e89135f2cb0d06b0e6b,Web Development,webshop,,,100,done,682328e4b838d475ecd54f91,2024-08-04T16:13:42.000Z,2024-08-03T22:00:00.000Z,0
68261e89135f2cb0d06b0e6c,Web Development,webshop,,,60,done,682328e4b838d475ecd54f91,2024-08-04T16:13:20.000Z,2024-08-03T22:00:00.000Z,0
68261e89135f2cb0d06b0e57,Web Development,my-blog-pomo,,,150,done,682328e4b838d475ecd54f91,2024-08-15T05:32:45.000Z,2024-08-14T22:00:00.000Z,0
